ArraySize,HybridSort,MergeSort
220,0.7352080000000001,0.7510000000000048
221,0.7478749999999934,0.7450830000000224
222,0.7681670000000054,0.8334580000000074
223,0.7801249999999982,0.808415999999994
224,0.7935840000000098,0.8201249999999902
225,0.8258749999999964,0.8763340000000142
226,0.9019580000000076,0.8554579999999987
227,0.8578749999999786,0.8062089999999955
228,0.8354579999999885,0.8146250000000066
229,0.8163330000000144,0.812375000000003
230,0.8105840000000057,0.8072919999999897
231,0.8411250000000052,0.855417000000017
232,0.8262499999999875,0.8284590000000094
233,0.8482500000000073,0.8493749999999807
234,0.8411250000000052,0.8585410000000309
235,0.9234580000000108,0.9079590000000337
236,0.8709169999999915,0.8913749999999823
237,0.8762499999999989,0.8768749999999841
238,0.8633749999999907,0.866375000000005
239,0.8344999999999914,0.8727090000000146
240,0.8833330000000217,0.8892909999999858
241,0.8665000000000305,0.9313329999999667
242,0.8357499999999902,0.9067910000000268
243,0.8881670000000099,0.9739589999999794
244,0.8965410000000134,0.9002920000000074
245,0.8983750000000157,0.9127500000000452
246,0.8735420000000147,0.918042000000014
247,0.8728750000000218,0.9204579999999964
248,0.8512090000000114,0.9040829999999858
249,0.8542079999999999,0.8998749999999802
250,0.8960830000000044,0.9730839999999716
251,0.9494169999999542,1.0035409999999843
252,0.9410840000000178,0.9485420000000033
253,0.8984589999999741,0.9116249999999866
254,0.9641249999999957,1.0216670000000079
255,0.9033750000000111,0.9470000000000027
256,0.9092080000000351,0.9660000000000082
257,0.9750000000000227,1.0209580000000074
258,0.9707500000000095,1.050167000000016
259,0.972375000000028,1.0458329999999876
260,1.048749999999984,1.1058329999999899
261,1.0118339999999932,1.030791999999991
262,0.9838329999999758,1.0313330000000178
263,1.03125,1.0300000000000011
264,0.9855839999999887,1.037499999999966
265,1.0349589999999864,1.0629579999999805
266,1.0057500000000061,1.0510410000000547
267,1.0700420000000008,1.1234169999999608
268,1.0984579999999937,1.1348749999999654
269,0.9809589999999844,1.022457999999915
270,1.0035839999999894,1.0822919999999954
271,1.0684999999999718,1.09454199999999
272,1.04120800000004,1.0741250000000377
273,1.1025419999999713,1.1259580000000255
274,1.095957999999996,1.164666000000011
275,1.0886659999999893,1.110541000000012
276,1.1113749999999527,1.131167000000005
277,1.0308329999999728,1.1029589999999416
278,1.0521250000000464,1.0929579999999532
279,1.1083340000000135,1.1473329999999464
280,1.0593340000000353,1.117666999999983
281,1.1899999999999977,1.2459159999999656
282,1.130916999999954,1.1819170000000554
283,1.098792000000003,1.1344589999999926
284,1.1110000000000468,1.1669999999999732
285,1.1309589999999616,1.1775840000000244
286,1.1095830000000433,1.1975830000000087
287,1.1580419999999663,1.2287500000000477
288,1.2255419999999617,1.2473749999999768
289,1.1590830000000096,1.2670420000000036
290,1.2371669999999426,1.290042000000028
291,1.1928749999999582,1.2883749999999168
292,1.21304200000003,1.2205409999999688
293,1.2011660000000006,1.2163750000000277
294,1.17349999999999,1.240666000000033
295,1.2838750000000232,1.2931250000000318
296,1.2731249999999932,1.2967919999999822
297,1.2009169999999472,1.236959000000013
298,1.26887499999998,1.2904589999999985
299,1.272874999999999,1.3121669999999312
300,1.3259590000000685,1.3943329999999605
301,1.34454199999999,1.3419999999999845
302,1.2645420000000058,1.2917080000000283
303,1.213124999999991,1.2521249999999782
304,1.313416000000018,1.3565419999999904
305,1.3242089999999962,1.3813330000000406
306,1.3875419999999963,1.4513749999999845
307,1.3334580000000074,1.4093750000000682
308,1.400916000000052,1.4220829999999864
309,1.3308329999999842,1.3613750000000095
310,1.3388749999999163,1.3634589999999776
311,1.3295420000000604,1.3852079999999773
312,1.4765420000000518,1.5404589999999985
313,1.4456250000000068,1.418833999999947
314,1.365542000000005,1.39141699999999
315,1.3302080000000274,1.3571660000000065
316,1.376041999999984,1.4180829999999673
317,1.4675000000000296,1.5482079999999883
318,1.53045800000001,1.5217499999999973
319,1.4788750000000164,1.471790999999996
320,1.4570829999999546,1.4685420000000136
321,1.5008329999999432,1.5307920000000195
322,1.4407919999999876,1.5364999999999895
323,1.55679200000003,1.51400000000001
324,1.5321670000000154,1.5348330000000487
325,1.43508300000002,1.4687079999999924
326,1.4392500000000155,1.4725420000000327
327,1.5870409999999993,1.6445410000000038
328,1.6164170000000126,1.6024170000000595
329,1.593416999999988,1.5247909999999365
330,1.5247919999999908,1.5480840000000171
331,1.449625000000026,1.4938750000000027
332,1.5717910000000188,1.5897500000000377
333,1.667250000000024,1.6549999999999727
334,1.6931249999999523,1.6213750000000005
335,1.6214169999999513,1.6157079999999837
336,1.5601250000000277,1.5820420000000013
337,1.5502910000000725,1.6437919999999622
338,1.6328340000000594,1.6075409999999692
339,1.5836249999999836,1.6226250000000277
340,1.614499999999964,1.6586249999999723
